case_id,campaign_id,target_name,target_type,target_country,platform,account_or_asset,date_start,date_end,enforcement_basis,abuse_mechanism,motive_category,claimant_name_as_reported,claimant_affiliation,claimant_identity_verified,vendor_attribution,high_volume_sender,sender_volume_evidence,platform_action,appeal_outcome,failed_control,dsa_articles_implicated,confidence,summary,source_ids,last_verified
ARES-001,CAMP-ARES-ECUADOR-2013,BuzzFeed,commercial_media,US,cloud_storage,BuzzFeed investigative documents,2013,unknown,copyright,fictitious_rights_claim,political_state_censorship,Ares Rights,Ares Rights,unknown,claimed_affiliation,unknown,,content_removal,restored_formal_counternotice,"lack_of_pre_action_verification,asymmetric_burden_of_proof","17,20,34,35",Confirmed,Documents concerning Ecuadorian surveillance were removed following a complaint attributed to Ares Rights and later restored after a counter-notice.,SRC-001;SRC-002,2026-09-25
ARES-002,CAMP-ARES-ECUADOR-2013,Chevron,corporate_litigant,US,youtube,Videos concerning Ecuador litigation,2013,2014,copyright,legitimate_looking_bad_faith,commercial_reputation_scrubbing,Ares Rights,Ares Rights,unknown,claimed_affiliation,unknown,,content_removal,restored_formal_counternotice,"lack_of_pre_action_verification,asymmetric_burden_of_proof","17,20,34,35",Confirmed,Videos concerning Chevron and the Ecuador litigation were removed after complaints associated with Ares Rights and later restored.,SRC-001;SRC-002,2026-09-25
ARES-003,CAMP-ARES-ECUADOR-2015,Plan V,investigative_media,EC,hosting_provider,Plan V website / refinery-contract photographs,2015-12,unknown,copyright,fictitious_rights_claim,political_state_censorship,Ares Rights,Ares Rights,unknown,claimed_affiliation,unknown,,content_removal,unknown,lack_of_pre_action_verification,"17,20,34,35",Confirmed,Photographs in reporting on refinery contracts were removed after a complaint associated with Ares Rights.,SRC-001,2026-09-25
AIPLEX-001,CAMP-AIPLEX-ANN7-2013,Unconfirmed media/creator accounts,commercial_media,ZA,youtube,Critical and satirical ANN7 / Gupta-family videos,2013-08,unknown,copyright,legitimate_looking_bad_faith,political_state_censorship,AiPlex,AiPlex Software Pvt Ltd,unknown,claimed_affiliation,yes,Google Transparency Report reporter ID 40866: high-volume notice activity; exact snapshot to be attached,content_removal,unknown,lack_of_pre_action_verification,"17,20,34,35",Unverified,Reports describe removal of critical and satirical ANN7/Gupta-family videos following complaints associated with AiPlex; target-account status requires further verification.,SRC-003,2026-09-25
ELIM-001,CAMP-ELIMINIALIA-CBH-2019,OCCRP,investigative_media,INT,google_search,OCCRP reporting on CBH / Derwick Associates,2019,2021,copyright,backdated_article,commercial_reputation_scrubbing,Unknown,Eliminalia,unknown,technical_forensic_attribution,unknown,,unknown,unknown,"lack_of_pre_action_verification,unverified_claimant_identity","17,20,34,35",Confirmed,Investigators documented attempts to remove or suppress OCCRP reporting using copied articles presented as earlier originals.,SRC-004;SRC-005,2026-09-25
ELIM-002,CAMP-ELIMINIALIA-CHILE-2019,Radio Universidad de Chile,commercial_media,CL,google_search,Article on doctors linked to torture during the Pinochet dictatorship,2019-12,unknown,copyright,backdated_article,commercial_reputation_scrubbing,Unknown,Eliminalia,unknown,technical_forensic_attribution,unknown,,unknown,unknown,"lack_of_pre_action_verification,unverified_claimant_identity","17,20,34,35",Confirmed,A backdated copy was used as the purported original in a complaint targeting the outlet's article.,SRC-004,2026-09-25
ELIM-003,CAMP-ELIMINIALIA-PAGINA66-2020,Página 66,commercial_media,ES,hosting_provider,Página 66 article,2020-01,unknown,copyright,backdated_article,commercial_reputation_scrubbing,Unknown,Eliminalia,unknown,technical_forensic_attribution,unknown,,service_interruption,unknown,"lack_of_pre_action_verification,unverified_claimant_identity,disproportionate_enforcement","17,20,34,35",Confirmed,A copied and backdated article was used in a complaint; the hosting provider required removal and the site was reportedly unavailable for about a week.,SRC-004;SRC-006,2026-09-25
ELIM-004,CAMP-ELIMINIALIA-CIPER-2020,CIPER Chile / elDiario.es,investigative_media,CL,google_search,Joint investigation on Colombian land and banana producers,2020-01,unknown,copyright,backdated_article,commercial_reputation_scrubbing,Unknown,Eliminalia,unknown,technical_forensic_attribution,unknown,,unknown,unknown,"lack_of_pre_action_verification,unverified_claimant_identity","17,20,34,35",Confirmed,A copied article with an earlier displayed date was used to support a complaint against the original investigation.,SRC-004,2026-09-25
ELIM-005,CAMP-ELIMINIALIA-MAKA-2020,Maka Angola,investigative_media,AO,hosting_provider,Maka Angola investigations,2020,2021,copyright,impersonation_claimant,political_state_censorship,Various purported legal entities,Eliminalia,no,technical_forensic_attribution,unknown,,unknown,unknown,"lack_of_pre_action_verification,unverified_claimant_identity","17,20,34,35",Confirmed,Investigators reported complaints and copied material used against Maka Angola through purported legal entities and cloned sites.,SRC-004;SRC-007,2026-09-25
ELIM-006,CAMP-ELIMINIALIA-ELEPHANT-2020,The Elephant,investigative_media,KE,hosting_provider,The Elephant investigations,2020,2021,copyright,impersonation_claimant,commercial_reputation_scrubbing,Various purported legal entities,Eliminalia,no,technical_forensic_attribution,unknown,,unknown,unknown,"lack_of_pre_action_verification,unverified_claimant_identity","17,20,34,35",Confirmed,Investigators reported coordinated complaints and copied material used against The Elephant.,SRC-004;SRC-007,2026-09-25
ELIM-007,CAMP-ELIMINIALIA-MAKA-2021,Maka Angola,investigative_media,AO,domain_registrar,Maka Angola article,2021,unknown,copyright,impersonation_claimant,political_state_censorship,Esquerda.net / O Globo / Global News (purported),Eliminalia,no,technical_forensic_attribution,unknown,,unknown,unknown,"unverified_claimant_identity,lack_of_pre_action_verification","17,20,34,35",Confirmed,Complaints were reportedly submitted in the names of genuine media organizations that denied submitting them.,SRC-008,2026-09-25
ELIM-008,CAMP-ELIMINIALIA-ROMBE-2023,Diario Rombe / OCCRP,investigative_media,GQ,google_search,Reporting concerning Gabriel Obiang Lima and NJ Ayuk,2023-01,2023-02,copyright,fictitious_rights_claim,commercial_reputation_scrubbing,Unknown,Unknown,unknown,unattributed_proxy,unknown,,content_removal,restored_formal_counternotice,lack_of_pre_action_verification,"17,20,34,35",Confirmed,Reports describe false copyright complaints causing temporary search or access disruption to reporting by Diario Rombe and OCCRP.,SRC-009,2026-09-25
MOGUL-001,CAMP-MOGUL-TAXPOLICY-2024,Tax Policy Associates,civil_society_ngo,GB,google_search,Article critical of Mogul Press,2024-01,unknown,copyright,backdated_article,commercial_reputation_scrubbing,Unknown,Mogul Press,unknown,claimed_affiliation,unknown,,unknown,unknown,"lack_of_pre_action_verification,unverified_claimant_identity","17,20,34,35",Confirmed,A copied version of a critical article was presented as an earlier original in a DMCA complaint to Google.,SRC-010,2026-09-25
INIT-001,CAMP-INITIATRIX-OJOPUBLICO-2024,Ojo Público,investigative_media,PE,google_search,Investigations concerning Joaquín and Osías Ramírez,2024-04,2024-07,copyright,backdated_article,fraudster_protection,Fictitious identities,Initiatrix Technologies,no,technical_forensic_attribution,unknown,,unknown,unknown,"lack_of_pre_action_verification,unverified_claimant_identity","17,20,34,35",Confirmed,Ojo Público documented a series of complaints using false identities and backdated copies; reporting linked technical evidence to Initiatrix Technologies.,SRC-011;SRC-012,2026-09-25
SHISH-001,CAMP-SHISHKIN-LIKE-2023,Shishkin Like,independent_journalist_project,KZ,instagram,Shishkin Like Instagram account,2023-03,unknown,copyright,impersonation_claimant,political_state_censorship,Purported Kazakh companies / educational organisations,Unknown,no,unattributed_proxy,unknown,,account_deactivation,unknown,"unverified_claimant_identity,lack_of_pre_action_verification,disproportionate_enforcement","17,20,34,35",Confirmed,The account was reportedly removed after complaints ostensibly from organizations that denied filing them.,SRC-013,2026-09-25
SHISH-002,CAMP-SHISHKIN-LIKE-2026,Shishkin Like,independent_journalist_project,KZ,instagram,Shishkin Like Instagram account,2026-04,unknown,copyright,legitimate_looking_bad_faith,political_state_censorship,Abhishek Dhorelia,MarkScan Digital IP / marcscan.in address,yes,claimed_affiliation,unknown,,account_deactivation,restored_editorial_appeal,"lack_of_pre_action_verification,flawed_appeal_pipeline,disproportionate_enforcement","17,20,34,35",Confirmed,"The account was restricted and removed, then restored after external support; a copyright notice identified Abhishek Dhorelia and a marcscan.in address.",SRC-013;SRC-014,2026-09-25
WEB-001,CAMP-WEBAMOOZ-2023-2024,Webamooz,independent_journalist_project,IR,youtube,Webamooz YouTube channel,2023-11,2024-09,copyright,legitimate_looking_bad_faith,fraudster_protection,Bytescare,Bytescare,unknown,claimed_affiliation,unknown,,content_removal,restored_formal_counternotice,"lack_of_pre_action_verification,flawed_appeal_pipeline","17,20,34,35",Confirmed,Copyright notices targeted Webamooz; following counter-notices YouTube restored part of the affected video material.,SRC-015,2026-09-25
PJ-001,CAMP-PROSTO-ZHURNALISTIKA-2025,Просто журналистика,independent_journalist_project,KZ,instagram,Просто журналистика Instagram account,2025-07,unknown,copyright,fictitious_rights_claim,political_state_censorship,Unknown,Unknown,unknown,unattributed_proxy,unknown,,account_deactivation,unknown,"lack_of_pre_action_verification,disproportionate_enforcement","17,20,34,35",Confirmed,Meta notifications concerning the project were reported to be based on copyright claims; the Instagram account was removed.,SRC-016;SRC-017,2026-09-25
PJ-002,CAMP-PROSTO-ZHURNALISTIKA-2025,Просто журналистика,independent_journalist_project,KZ,youtube,Просто журналистика YouTube channel,2025-07-18,2025-08-06,copyright,prior_upload_scheme,political_state_censorship,Unknown,Unknown,unknown,unattributed_proxy,unknown,,channel_termination,restored_formal_counternotice,"lack_of_pre_action_verification,flawed_appeal_pipeline,disproportionate_enforcement","17,20,34,35",Confirmed,The channel was removed after three copyright strikes involving music; access was restored on 6 August 2025.,SRC-016,2026-09-25
RESP-001,CAMP-RESPUBLIKA-2026,Respublika.kz.media,investigative_media,KZ,facebook,Respublika.kz.media Facebook page,2026-01-02,unknown,copyright,fictitious_rights_claim,political_state_censorship,Not disclosed,Unknown,unknown,unattributed_proxy,unknown,,account_deactivation,permanent_loss,"lack_of_pre_action_verification,flawed_appeal_pipeline,disproportionate_enforcement","17,20,34,35",Confirmed,"The editorial Facebook page with approximately 41,000 followers was removed after material analysing an AI video of President Tokayev's address.",SRC-018,2026-09-25
RESP-002,CAMP-RESPUBLIKA-2026,Respublika.kz.media,investigative_media,KZ,facebook,Respublika.kz.media Facebook page,2026-03,unknown,trademark,fictitious_rights_claim,political_state_censorship,Giorgio Armani (purported),Unknown,no,unattributed_proxy,unknown,,content_removal,not_appealed,"lack_of_pre_action_verification,unverified_claimant_identity,flawed_appeal_pipeline","17,20,34,35",Confirmed,Fifty-seven Constitution-related posts were removed after trademark complaints reportedly naming Giorgio Armani; editors reported no appeal option.,SRC-019;SRC-020,2026-09-25
RESP-003,CAMP-RESPUBLIKA-2026,Respublika.kz.media,investigative_media,KZ,instagram,Respublika.kz.media Instagram account,2026-03,unknown,trademark,fictitious_rights_claim,political_state_censorship,Giorgio Armani (purported),Unknown,no,unattributed_proxy,unknown,,content_removal,not_appealed,"lack_of_pre_action_verification,unverified_claimant_identity,flawed_appeal_pipeline","17,20,34,35",Confirmed,All identified Constitution-card posts were removed from the Instagram account following purported Giorgio Armani trademark complaints.,SRC-019,2026-09-25
RESP-004,CAMP-RESPUBLIKA-2026,Respublika.kz.media,investigative_media,KZ,facebook,Respublika.kz.media Facebook page,2026-03,unknown,trademark,legitimate_looking_bad_faith,political_state_censorship,AiPlex Software Pvt Ltd,AiPlex Software Pvt Ltd,yes,claimed_affiliation,yes,Google Transparency Report reporter ID 40866: 37% URL metric accepted in project draft; snapshot metadata to be attached,content_removal,unknown,"lack_of_pre_action_verification,lack_of_trusted_channel_scrutiny","17,20,34,35",Confirmed,Six posts were removed after a trademark complaint citing AIPLEX.,SRC-021,2026-09-25
RESP-005,CAMP-RESPUBLIKA-2026,Respublika.kz.media,investigative_media,KZ,facebook,Respublika.kz.media Facebook page,2026-04-13,2026-04-17,copyright,automated_mass_filing,political_state_censorship,AiPlex Software Pvt Ltd,AiPlex Software Pvt Ltd,yes,claimed_affiliation,yes,Google Transparency Report reporter ID 40866: 37% URL metric accepted in project draft; snapshot metadata to be attached,content_removal,unknown,"lack_of_pre_action_verification,lack_of_trusted_channel_scrutiny,flawed_appeal_pipeline","17,20,34,35",Confirmed,"The April wave rose from 21 to 61 and then 358 cumulative removals, including the profile logo, according to editorial reporting.",SRC-022;SRC-021,2026-09-25
RESP-006,CAMP-RESPUBLIKA-2026,Respublika.kz.media,investigative_media,KZ,instagram,Respublika.kz.media Instagram account,2025-12,2026-04-07,copyright,automated_mass_filing,political_state_censorship,Not disclosed,Unknown,unknown,unattributed_proxy,unknown,,account_deactivation,unknown,"lack_of_pre_action_verification,flawed_appeal_pipeline,disproportionate_enforcement","17,20,34,35",Confirmed,The outlet recorded seven account-block or removal events and three content-removal events on Instagram between December 2025 and April 2026.,SRC-022,2026-09-25
LMC-001,CAMP-LEGAL-MEDIA-CENTRE-2026,Правовой медиа-центр,civil_society_ngo,KZ,youtube,YouTube channel of the public foundation,2026-02-23,2026-02-24,copyright,fictitious_rights_claim,activism_suppression,Najib Abdul Rahman Khalid,Unknown,unknown,unattributed_proxy,unknown,,channel_termination,restored_formal_counternotice,"lack_of_pre_action_verification,flawed_appeal_pipeline,disproportionate_enforcement","17,20,34,35",Confirmed,The public foundation's YouTube channel was blocked after complaints concerning 13 videos and restored after appeal the next day.,SRC-023,2026-09-25
LMC-002,CAMP-LEGAL-MEDIA-CENTRE-2026,Правовой медиа-центр,civil_society_ngo,KZ,instagram,Правовой медиа-центр Instagram account,2026-04,unknown,copyright,automated_mass_filing,activism_suppression,AiPlex Software Pvt Ltd (reported),AiPlex Software Pvt Ltd,yes,claimed_affiliation,yes,Google Transparency Report reporter ID 40866: 37% URL metric accepted in project draft; snapshot metadata to be attached,account_deactivation,unknown,"lack_of_pre_action_verification,lack_of_trusted_channel_scrutiny,disproportionate_enforcement","17,20,34,35",Confirmed,Instagram account of the organization was fully deactivated after restrictions and copyright-related complaints.,SRC-024;SRC-025;SRC-021,2026-09-25
LMC-003,CAMP-LEGAL-MEDIA-CENTRE-2026,Правовой медиа-центр,civil_society_ngo,KZ,facebook,Правовой медиа-центр Facebook page,2026-04-21,unknown,copyright,automated_mass_filing,activism_suppression,AiPlex Software Pvt Ltd (reported),AiPlex Software Pvt Ltd,yes,claimed_affiliation,yes,Google Transparency Report reporter ID 40866: 37% URL metric accepted in project draft; snapshot metadata to be attached,account_deactivation,restored_editorial_appeal,"lack_of_pre_action_verification,lack_of_trusted_channel_scrutiny,disproportionate_enforcement","17,20,34,35",Confirmed,The organization's Facebook page was blocked on 21 April after its Instagram page; it was later restored after roughly a month.,SRC-024;SRC-025;SRC-026,2026-09-25
AZATTYQ-001,CAMP-AZATTYQ-2026,Radio Azattyq,commercial_media,KZ,instagram,Radio Azattyq Instagram account,2026-07-08,unknown,copyright,fictitious_rights_claim,political_state_censorship,Unknown,Unknown,unknown,unattributed_proxy,unknown,,account_deactivation,restored_editorial_appeal,"lack_of_pre_action_verification,flawed_appeal_pipeline,disproportionate_enforcement","17,20,34,35",Confirmed,First completed Instagram account-blocking episode; the account was restored.,SRC-027;SRC-028,2026-09-25
AZATTYQ-002,CAMP-AZATTYQ-2026,Radio Azattyq,commercial_media,KZ,instagram,Radio Azattyq Instagram account,2026-07-10,unknown,copyright,fictitious_rights_claim,political_state_censorship,Unknown,Unknown,unknown,unattributed_proxy,unknown,,account_deactivation,restored_editorial_appeal,"lack_of_pre_action_verification,flawed_appeal_pipeline,disproportionate_enforcement","17,20,34,35",Confirmed,Second completed and distinct Instagram-blocking episode; the account was restored.,SRC-027;SRC-028,2026-09-25
MON-001,CAMP-MONITORI-2026,Monitori,investigative_media,GE,youtube,Monitori YouTube channel,2026-07,2026-08,copyright,fictitious_rights_claim,political_state_censorship,"Ripu Singh (strike 1; WhatsApp/phone databases: Aditya Singh); two further claimants unnamed",Unknown,no,self_admitted_sub_contractor,unknown,,channel_termination,restored_formal_counternotice,"lack_of_pre_action_verification,flawed_appeal_pipeline,disproportionate_enforcement","17,20,34,35",Confirmed,"The channel was removed after three copyright strikes. One claimant identified as Ripu Singh (phone databases: Aditya Singh) admitted via WhatsApp to terminating the channel, quoted $3,000–$5,000 for standard services and $380 per video to withdraw strikes, and confirmed operating as a sub-contractor without knowledge of the ultimate client.",SRC-029,2026-09-25
MON-002,CAMP-MONITORI-2026,Monitori,investigative_media,GE,facebook,Monitori Facebook page,2026-08,unknown,copyright,fictitious_rights_claim,political_state_censorship,"Unknown (name in Meta complaint unverifiable; OSINT: fictitious)",Unknown,no,unattributed_proxy,unknown,,account_deactivation,restored_editorial_appeal,"lack_of_pre_action_verification,flawed_appeal_pipeline,disproportionate_enforcement","17,20,34,35",Confirmed,"The Facebook page was removed after a false copyright complaint. The claimant name and email in the Meta notice could not be matched to any real identity in open databases or public registries; assessed as fictitious.",SRC-029,2026-09-25
GAYLAN-001,CAMP-AIPLEX-GAYLAN-SOMALIA-2026,Gaylan Media,independent_journalist_project,SO,facebook,"Gaylan Media Facebook content (IDs #3095644373966135 and #841608584858218)",2026-04-13,unknown,copyright,"legitimate_looking_bad_faith,automated_mass_filing",parliamentarily_recognised_censorship,AiPlex Software Pvt Ltd,AiPlex Software Pvt Ltd,yes,claimed_affiliation,yes,Google Transparency Report reporter ID 40866; formal legal notice by MP Dr. Abdillahi Hashi Abib naming AiPlex as actor,content_removal,unknown,"lack_of_pre_action_verification,lack_of_trusted_channel_scrutiny","17,20,22,34,35",Confirmed,"Gaylan Media content was removed via AiPlex-attributed copyright complaints; Somali MP Dr. Abdillahi Hashi Abib issued a formal legal notice to AiPlex, Meta, and Gaylan Media accusing them of fraudulent takedowns and coordinated suppression of political speech, linking the campaign to Deputy Minister of Information Abdirahman Al Kadaal. First recorded case of a parliamentary accusation naming AiPlex in a political censorship context.",SRC-030,2026-09-25
