source_id,source_type,title,author_or_publisher,url,archive_url,vault_reference,date_published,retrieved_at
SRC-001,investigative_report,State Censorship in the Name of Copyright: Spanish Firm Abuses DMCA,Electronic Frontier Foundation,https://www.eff.org/deeplinks/2014/05/state-censorship-copyright-spanish-firm-abuses-DMCA,https://web.archive.org/web/20240101000000*/https://www.eff.org/deeplinks/2014/05/state-censorship-copyright-spanish-firm-abuses-DMCA,,2014-05,2026-09-25
SRC-002,investigative_report,"Dark Ops Undercovered, Episode II: Eliminalia – Analysis of Fake DMCA Complaints",Qurium Media Foundation,https://www.qurium.org/forensics/dark-ops-undercovered-episode-ii-eliminalia-analysis-of-fake-dmca-complaints,https://web.archive.org/web/20230301000000*/https://www.qurium.org/forensics/dark-ops-undercovered-episode-ii-eliminalia-analysis-of-fake-dmca-complaints,,2023-02,2026-09-25
SRC-003,investigative_report,AiPlex / ANN7 case materials,Provereno Media,,,VAULT-PROJECT-AIPLEX-ANN7,2013-08,2026-09-25
SRC-004,investigative_report,Eliminalia: Behind Yet Another Technique to Silence Investigative Media,Qurium Media Foundation,https://www.qurium.org/forensics/eliminalia-behind-yet-another-technique-to-silence-investigative-media,https://web.archive.org/web/20211126000000*/https://www.qurium.org/forensics/eliminalia-behind-yet-another-technique-to-silence-investigative-media,,2021-11-26,2026-09-25
SRC-005,investigative_report,Eliminalia: A Reputation Laundromat for Criminals (Story Killers),OCCRP,https://www.occrp.org/en/project/story-killers/eliminalia-a-reputation-laundromat-for-criminals,https://web.archive.org/web/20230216000000*/https://www.occrp.org/en/project/story-killers/eliminalia-a-reputation-laundromat-for-criminals,,2023-02-16,2026-09-25
SRC-006,investigative_report,"The Gravediggers: How Eliminalia Buries the Truth (Página 66 / Grupo Altavista case)",Forbidden Stories,https://forbiddenstories.org/the-gravediggers-eliminalia/,https://web.archive.org/web/20230216000000*/https://forbiddenstories.org/the-gravediggers-eliminalia/,,2023-02-16,2026-09-25
SRC-007,press_release,The Delete Negative Links Industry,Qurium Media Foundation,https://www.qurium.org/press-releases/the-delete-negative-links-industry-2,https://web.archive.org/web/20240722000000*/https://www.qurium.org/press-releases/the-delete-negative-links-industry-2,,2024-07-22,2026-09-25
SRC-008,investigative_report,Eliminalia: Impersonated Media Complaints against Maka Angola and The Elephant,Qurium Media Foundation,https://www.qurium.org/forensics/eliminalia-behind-yet-another-technique-to-silence-investigative-media,https://web.archive.org/web/20211126000000*/https://www.qurium.org/forensics/eliminalia-behind-yet-another-technique-to-silence-investigative-media,,2021-11-26,2026-09-25
SRC-009,investigative_report,Fake Copyright Complaints Seek to Remove Reports on Minister and Lawyer (Diario Rombe / OCCRP),OCCRP,https://www.occrp.org/en/news/fake-copyright-complaints-seek-to-remove-reports-on-minister-and-lawyer,https://web.archive.org/web/20230228000000*/https://www.occrp.org/en/news/fake-copyright-complaints-seek-to-remove-reports-on-minister-and-lawyer,,2023-02-28,2026-09-25
SRC-010,investigative_report,Mogul Press Uses Fraud to Silence Critics,Tax Policy Associates,https://taxpolicy.org.uk/2024/01/27/mogul_fraud/,https://web.archive.org/web/20240127000000*/https://taxpolicy.org.uk/2024/01/27/mogul_fraud/,,2024-01-27,2026-09-25
SRC-011,investigative_report,India detrás del negocio global por borrar reportajes de OjoPúblico (Initiatrix Technologies),Ojo Público,https://ojo-publico.com/5215/india-detras-del-negocio-global-por-borrar-reportajes-ojopublico,https://web.archive.org/web/20240720000000*/https://ojo-publico.com/5215/india-detras-del-negocio-global-por-borrar-reportajes-ojopublico,,2024-07-20,2026-09-25
SRC-012,investigative_report,The Delete Negative Links Industry – Initiatrix Technologies technical analysis,Qurium Media Foundation,https://www.qurium.org/alerts/the-delete-negative-links-industry/,https://web.archive.org/web/20240722000000*/https://www.qurium.org/press-releases/the-delete-negative-links-industry-2,,2024-07-22,2026-09-25
SRC-013,newsroom_direct_evidence,Shishkin Like case materials,Shishkin Like / Provereno Media,,,VAULT-SHISHKIN-LIKE,2023-03,2026-09-25
SRC-014,newsroom_direct_evidence,MarkScan notice attributed to Abhishek Dhorelia via marcscan.in,Shishkin Like / Provereno Media,,,VAULT-SHISHKIN-MARKSCAN-2026,2026-04,2026-09-25
SRC-015,newsroom_direct_evidence,Webamooz / Bytescare case materials,Webamooz / Provereno Media,,,VAULT-WEBAMOOZ-BYTESCare,2024-09,2026-09-25
