actor_id,actor_name,actor_type,actor_role,jurisdiction,registration_number,registration_source,registration_url,parent_company,known_clients,privileged_platform_access,notes,last_verified
ACT-001,AiPlex Software Pvt Ltd,company,vendor,IN,U72200KA2003PTC032145,India MCA,https://www.mca.gov.in/,,Respublika.kz.media (inferred); Правовой медиа-центр (inferred); Gaylan Media (MP notice); ANN7 / Gupta family (2013),claimed_but_unconfirmed_by_platform,"Google Transparency Report Reporter ID 40866. Registered in Karnataka, India. High-volume DMCA filer. Named in formal legal notice by Somali MP Dr. Abdillahi Hashi Abib in April 2026. Associated with marcscan.in address in SHISH-002.",2026-09-25
ACT-002,MarkScan Digital IP (marcscan.in),company,vendor,IN,,,,,,unknown,"Claimant Abhishek Dhorelia used a marcscan.in address in the notice targeting Shishkin Like Instagram account in April 2026. Relationship to AiPlex Software unconfirmed.",2026-09-25
ACT-003,Eliminalia S.L.,company,vendor,ES,B67704901,Spain BORME,https://www.boe.es/diario_borme/,,"OCCRP (ELIM-001); Radio Universidad de Chile (ELIM-002); Página 66 (ELIM-003); CIPER Chile / elDiario.es (ELIM-004); Maka Angola (ELIM-005/007); The Elephant (ELIM-006)",unknown,"Spanish SL. Forensically attributed by Qurium Media Foundation via backdated-article technique and DNS/WHOIS analysis. Covered by OCCRP Story Killers project and Forbidden Stories. Operated under aliases.",2026-09-25
ACT-004,Ares Rights,company,vendor,ES,,,Spain BORME — registration details not confirmed in primary sources,,,unknown,"Named in EFF (2014) reporting as filer of copyright complaints on behalf of the Ecuadorian government and Chevron. Attribution basis: EFF investigative report; primary corporate registry record not yet obtained.",2026-09-25
ACT-005,Initiatrix Technologies,company,vendor,IN,,,India MCA — registration details not confirmed in primary sources,,Ojo Público (INIT-001),unknown,"Technically attributed by Qurium Media Foundation. Named in Ojo Público investigation (2024). Uses fictitious claimant identities.",2026-09-25
ACT-006,Mogul Press,company,vendor,US,,,US — state of incorporation not confirmed in primary sources,,,unknown,"Named in Tax Policy Associates (2024) report as beneficiary of backdated DMCA complaint targeting critical article. Operates as a PR and media placement agency.",2026-09-25
ACT-007,Bytescare,company,vendor,IN,,,India MCA — registration details not confirmed in primary sources,,Webamooz (WEB-001),unknown,"Named as claimant in copyright notice targeting Webamooz YouTube channel. No confirmed corporate registry record in dataset.",2026-09-25
ACT-008,Respublika.kz.media,media_outlet,target,KZ,,,,,,,"Independent Kazakhstani investigative media. Facebook page (~41 000 followers) permanently lost (RESP-001). Subject of multi-wave attack across Facebook and Instagram (RESP-001 to RESP-006).",2026-09-25
ACT-009,Правовой медиа-центр,civil_society_ngo,target,KZ,,,,,,,"Kazakhstani public foundation focused on legal aid and media rights. YouTube channel (LMC-001) and Instagram (LMC-002) deactivated; Facebook page (LMC-003) later restored.",2026-09-25
ACT-010,Shishkin Like,media_project,target,KZ,,,,,,,Independent Kazakhstani video-journalism project. Two separate Instagram deactivation episodes: March 2023 (SHISH-001) and April 2026 (SHISH-002).,2026-09-25
ACT-011,Maka Angola,media_outlet,target,AO,,,,,,,Angolan investigative outlet. Subject of repeated Eliminalia-attributed hosting and domain complaints (ELIM-005/007).,2026-09-25
ACT-012,The Elephant,media_outlet,target,KE,,,,,,,Kenyan investigative outlet. Subject of Eliminalia-attributed hosting complaints (ELIM-006).,2026-09-25
ACT-013,OCCRP,media_outlet,target,INT,,,,,,,Subject of Eliminalia-attributed Google Search deindexing attempt (ELIM-001) and co-target in ELIM-008.,2026-09-25
ACT-014,Monitori,media_outlet,target,GE,,,,,,,Georgian investigative outlet. YouTube channel terminated and Facebook page removed in July–August 2026 (MON-001/002). One claimant self-identified as commercial sub-contractor.,2026-09-25
ACT-015,Radio Azattyq,media_outlet,target,KZ,,,,,,,RFE/RL Kazakhstan service. Two distinct Instagram account deactivations in July 2026 (AZATTYQ-001/002); both restored.,2026-09-25
ACT-016,Gaylan Media,media_project,target,SO,,,,,,,Somali independent media project. Facebook content removed via AiPlex-attributed complaints (GAYLAN-001); named in parliamentary legal notice.,2026-09-25
ACT-017,Ojo Público,media_outlet,target,PE,,,,,,,Peruvian investigative outlet. Subject of Initiatrix Technologies-attributed backdated DMCA campaign (INIT-001).,2026-09-25
ACT-018,Webamooz,media_project,target,IR,,,,,,,Iranian opposition media project on YouTube. Subject of Bytescare-attributed copyright notices (WEB-001); partially restored.,2026-09-25
ACT-019,Plan V,media_outlet,target,EC,,,,,,,Ecuadorian investigative outlet. Subject of Ares Rights-attributed hosting complaint (ARES-003).,2026-09-25
ACT-020,BuzzFeed,media_outlet,target,US,,,,,,,Targeted in Ares Rights cloud-storage removal of investigative documents (ARES-001).,2026-09-25
ACT-021,Просто журналистика,media_project,target,KZ,,,,,,,Kazakhstani independent journalism project (Lukpan Akhmedyarov). Instagram deactivated (PJ-001) and YouTube channel terminated then restored (PJ-002) in July–August 2025.,2026-09-25
ACT-022,Página 66,media_outlet,target,ES,,,,,,,Spanish local outlet. Subject of Eliminalia-attributed backdated hosting complaint (ELIM-003).,2026-09-25
ACT-023,CIPER Chile,media_outlet,target,CL,,,,,,,Chilean investigative outlet (co-targeted with elDiario.es in ELIM-004).,2026-09-25
